code,port,locality,state,country
CLG,,Calgary,Alberta,Canada
EDA,,Edmonton,Alberta,Canada
YHC,,Hakai pass,British Columbia,Canada
HAL,,Halifax,Nova Scotia,Canada
MON,,Montreal,Quebec,Canada
OTT,,Ottawa,Ontario,Canada
YXE,,Saskatoon,Saskatchewan,Canada
TOR,,Toronto,Ontario,Canada
VCV,,Vancouver,British Columbia,Canada
VIC,,Victoria,British Columbia,Canada
WIN,,Winnipeg,Manitoba,Canada
AMS,Amsterdam-Schiphol Airport,Amsterdam,North Holland,Netherlands
ARB,,Oranjestad,Aruba,Neth Antilles
BAN,,Bangkok,Central Thailand,Thailand
BEI,Beica Airport,Beica,Oromia,Ethiopia
PEK,Beijing Capital International Airport,Beijing,Beijing,Public Republic of China
BDA,,Kindley Field,Saint Davis,Bermuda
BOG,El Dorado Airport,Bogota,Cundinamarca,Colombia
EZE,Ministro Pistarini International Airport,Buenos Aires,La Plata,Argentina
CUN,,Cancun,Quintana Roo,Mexico
CRQ,Caravelas Airport,Caravelas,Bahia,Brazil
MVD,Carrasco International Airport,Ciudad de la Costa,Canelones,Uruguay
DUB,,Dublin,Leinster,Ireland
FOU,Fougamou Airport,Fougamou,Ngounie Province,Gabon
FBA,,Freeport,Grand Bahama,Bahamas
MTY,Monterrey International Airport,Apodaca,Nuevo Leon,Mexico
HMO,General Pesqueira Garcia Airport,Hermosillo,Sonora,Mexico
GCM,,Grand Cayman,George Town,Cayman Island
GDL,Guadalajara International Airport,Guadalajara,Jalisco,Mexico
HAM,,Hamilton,,Bermuda
ICN,,Incheon,Gyeonggi,Seoul Korea
CND,,Kogalniceanu,Dobruja,Romania
LAH,Labuha Airport,Labuha,South Halmahera Regency,Indonesia
DUR,Louis Botha Airport,Durban,KwaZulu-Natal,South Africa
MAL,Mangole Airport,Mangole,Sula Islands,Indonesia
MDE,,Medellin,Antioquia,Colombia
MEX,Benito Juarez International Airport,Mexico City,Mexico City,Mexico
LHR,Middlesex,London,England,United Kingdom
NBO,,Nairobi,Nairobi,Kenya
NAS,,Nassau,,Bahamas
NCA,,North Caicos,,Turks and Caicos
PTY,Omar Torrijos,Panama City,Panama,Panama
SPV,,Jayapura,Papua,New Guinea
UIO,Quito (Mariscal Sucre) International Airport,Quito,Pichincha,Ecuador
RIT,,Rome,Lazio,Italy
SNO,Sakon Nakhon Airport,Mueang Sakon Nakhon,Sakon Nakhon,Thailand
SLP,San Luis Potosi International Airport,San Luis Potosi,San Luis Potosi,Mexico
SAN,,San Salvador,San Salvador,El Salvador
SRO,Santa Ramos Airport,Santa Ramos,Caqueta,Colombia
GRU,Guarulhos International Airport,Guarulhos,Sao Paulo,Brazil
SHA,,Shannon,Munster,Ireland
HIL,,Shillavo,Somali,Ethiopia
TOK,Torokina Airport,Torokina,Bougainville,New Guinea
VER,,Veracruz,Veracruz,Mexico
LGW,,West Sussex,England,United Kingdom
MAA,,Abu Dhabi,,United Arab Emirates
SAI,,Saipan,,Northern Mariana Islands
ALC,,Alcan,Alaska,Unites States
ANC,,Anchorage,Alaska,Unites States
BAR,Baker AAF,Baker Island,Alaska,Unites States
DAC,Daltons Cache,Haines,Alaska,Unites States
PIZ,DEW Station,Point Lay,Alaska,Unites States
DTH,,Dutch Harbor,Alaska,Unites States
EGL,,Eagle,Alaska,Unites States
FRB,,Fairbanks,Alaska,Unites States
HOM,,Homer,Alaska,Unites States
HYD,,Hyder,Alaska,Unites States
JUN,,Juneau,Alaska,Unites States
5KE,,Ketchikan,Alaska,Unites States
KET,,Ketchikan,Alaska,Unites States
MOS,Moses Point Intermediate Airport,Moses Point,Alaska,Unites States
NIK,,Nikiski,Alaska,Unites States
NOM,,Nome,Alaska,Unites States
PKC,Poker Creek Border Crossing,Chicken,Alaska,Unites States
ORI,,Port Lions,Alaska,Unites States
SKA,,Skagway,Alaska,Unites States
SNP,,St Paul Island,Alaska,Unites States
TKI,,Tokeen,Alaska,Unites States
WRA,,Wrangell,Alaska,Unites States
HSV,Madison County/Huntsville Airport,Huntsville,Alabama,Unites States
MOB,,Mobile,Alabama,Unites States
LIA,,Little Rock,Arkansas,Unites States
ROG,Rogers Airport,Benton,Arkansas,Unites States
DOU,,Douglas,Arizona,Unites States
LUK,,Lukeville,Arizona,Unites States
MAP,,Mariposa,Arizona,Unites States
NAC,,Naco,Arizona,Unites States
NOG,,Nogales,Arizona,Unites States
PHO,,Phoenix,Arizona,Unites States
POR,,Portal,Arizona,Unites States
SLU,,San Luis,Arizona,Unites States
SAS,,Sasabe,Arizona,Unites States
TUC,,Tucson,Arizona,Unites States
YUI,,Yuma,Arizona,Unites States
AND,,Andrade,California,Unites States
BUR,,Burbank,California,Unites States
CAL,,Calexico,California,Unites States
CAO,,Campo,California,Unites States
FRE,,Fresno,California,Unites States
ICP,IMPERIAL COUNTY Airport,Imperial,California,Unites States
LNB,,Long Beach,California,Unites States
LOS,,Los Angeles,California,Unites States
BFL,Meadows Field/Bakersfield Airport,Bakersfield,California,Unites States
OAK,,Oakland,California,Unites States
ONT,,Ontario,California,Unites States
OTM,,Otay Mesa,California,Unites States
BLT,Pacific Highway Station,Carson,California,Unites States
PSP,,Palm Springs,California,Unites States
SAC,,Sacramento,California,Unites States
SLS,,Salinas,California,Unites States
SDP,,San Diego,California,Unites States
SFR,,San Francisco,California,Unites States
SNJ,,San Jose,California,Unites States
SLO,,San Luis Obispo,California,Unites States
SLI,,San Luis Obispo,California,Unites States
SPC,,San Pedro,California,Unites States
SYS,,San Ysidro,California,Unites States
SAA,,Santa Ana,California,Unites States
STO,,Stockton,California,Unites States
TEC,,Tecate,California,Unites States
TRV,Travis Air Force Base,Fairfield,California,Unites States
APA,ARAPAHOE COUNTY,Arapahoe,Colorado,Unites States
ASE,,Aspen,Colorado,Unites States
COS,,Colorado Springs,Colorado,Unites States
DEN,,Denver,Colorado,Unites States
DRO,La Plata - Durango Airport,Durango,Colorado,Unites States
BDL,Bradley International Airport,Windsor Locks,Connecticut,Unites States
BGC,,Bridgeport,Connecticut,Unites States
GRT,,Groton,Connecticut,Unites States
HAR,,Hartford,Connecticut,Unites States
NWH,,New Haven,Connecticut,Unites States
NWL,,New London,Connecticut,Unites States
TST,,Newington,Connecticut,Unites States
WAS,,Washington, District of Columbia,Unites States
DOV,Dover Air Force Base,Dover,Delaware,Unites States
DVD,Dover Air Force Base,Dover,Delaware,Unites States
WLL,,Wilmington,Delaware,Unites States
BOC,,Bocagrande,Florida,Unites States
SRQ,Bradenton - Sarasota Airport,Bradenton,Florida,Unites States
CAN,,Cape Canaveral,Florida,Unites States
DAB,Daytona Beach International Airport,Daytona Beach,Florida,Unites States
